Host,Datacenter,Cluster,Switch,# Ports,Free Ports,Promiscuous Mode,Mac Changes,Forged Transmits,Traffic Shaping,Width,Peak,Burst,Policy,Reverse Policy,Notify Switch,Rolling Order,Offload,TSO,Zero Copy Xmit,MTU,VI SDK Server,VI SDK UUID
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,VMotion,9216,,False,False,False,,,,,,,,,,,,1500,,
p-esx-02.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vSwitch0,9216,,False,False,False,,,,,,,,,,,,1500,,
p-esx-04.usfq.edu.ec,USFQ,USFQ-PRODUCCION,VMotion,9216,,False,False,False,,,,,,,,,,,,1500,,
p-esx-04.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vSwitch0,9216,,False,False,False,,,,,,,,,,,,1500,,
p-esx-01.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vSwitch0,9216,,False,False,False,,,,,,,,,,,,1500,,
p-esx-03.usfq.edu.ec,USFQ,USFQ-PRODUCCION,VMotion,9216,,False,False,False,,,,,,,,,,,,1500,,
p-esx-03.usfq.edu.ec,USFQ,USFQ-PRODUCCION,vSwitch0,9216,,False,False,False,,,,,,,,,,,,1500,,
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,VM,8960,,False,False,False,,,,,,,,,,,,1500,,
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,VMotion,8960,,False,False,False,,,,,,,,,,,,1500,,
s-esx-02.usfq.edu.ec,USFQ,USFQ-SANDBOX,vSwitch0,8960,,False,False,False,,,,,,,,,,,,1500,,
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,VM,8960,,False,False,False,,,,,,,,,,,,1500,,
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,VMotion,8960,,False,False,False,,,,,,,,,,,,1500,,
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,vSwitch0,8960,,False,False,False,,,,,,,,,,,,1500,,
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,VM,8960,,False,False,False,,,,,,,,,,,,1500,,
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,VMotion,8960,,False,False,False,,,,,,,,,,,,1500,,
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,vSwitch0,8960,,False,False,False,,,,,,,,,,,,1500,,
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,VM,8960,,False,False,False,,,,,,,,,,,,1500,,
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,VMotion,8960,,False,False,False,,,,,,,,,,,,1500,,
t-esx-03.usfq.edu.ec,USFQ,USFQ-TEST,vSwitch0,8960,,False,False,False,,,,,,,,,,,,1500,,
t-esx-02.usfq.edu.ec,USFQ,USFQ-TEST,VM,8960,,False,False,False,,,,,,,,,,,,1500,,
t-esx-02.usfq.edu.ec,USFQ,USFQ-TEST,VMotion,8960,,False,False,False,,,,,,,,,,,,1500,,
t-esx-02.usfq.edu.ec,USFQ,USFQ-TEST,vSwitch0,8960,,False,False,False,,,,,,,,,,,,1500,,
