Port,Switch,Type,# Ports,VLAN,Speed,Full Duplex,Blocked,Allow Promiscuous,Mac Changes,Active Uplink,Standby Uplink,Policy,Forged Transmits,In Traffic Shaping,In Avg,In Peak,In Burst,Out Traffic Shaping,Out Avg,Out Peak,Out Burst,Reverse Policy,Notify Switch,Rolling Order,Check Beacon,Live Port Moving,Check Duplex,Check Error %,Check Speed,Percentage,Block Override,Config Reset,Shaping Override,Vendor Config Override,Sec. Policy Override,Teaming Override,Vlan Override,Object ID,VI SDK Server,VI SDK UUID
V-CAMARAS-161,USFQ-DVS,earlyBinding,9,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-SRV-75,USFQ-DVS,earlyBinding,50,1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-SRV-74,USFQ-DVS,earlyBinding,20,1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-FINANZAS-80,USFQ-DVS,earlyBinding,8,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-INVESTIGACION-67,USFQ-DVS,earlyBinding,10,1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-SRV-BAN-85,USFQ-DVS,earlyBinding,50,1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-SRV-TERCEROS-65,USFQ-DVS,earlyBinding,16,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-SRV-ACCESS-77,USFQ-DVS,earlyBinding,11,1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-SRV-64,USFQ-DVS,earlyBinding,19,1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-HUBI-JAIL-79,USFQ-DVS,earlyBinding,20,2079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-T-KUBERNET-63,USFQ-DVS,earlyBinding,8,1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-SRV-IMP-76,USFQ-DVS,earlyBinding,10,1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USFQ-DVS-DVUplinks-1640,USFQ-DVS,earlyBinding,8,0-4094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-INFRA-210,USFQ-DVS,earlyBinding,8,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-MGMT-19,USFQ-DVS,earlyBinding,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-SRV-66,USFQ-DVS,earlyBinding,8,1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-PUBLIC-192,USFQ-DVS,earlyBinding,10,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-SWITCH-21,USFQ-DVS,earlyBinding,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-SRV-WAF-73,USFQ-DVS,earlyBinding,10,1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
